,Date,Open,High,Low,Close,Adj Close,Volume,signal,short_mavg,long_mavg,positions
0,2020-03-16,1096.0,1152.2669677734375,1074.43994140625,1084.3299560546875,1084.3299560546875,4252400,0.0,1084.3299560546875,1084.3299560546875,
1,2020-03-17,1093.1099853515625,1130.8599853515625,1056.010009765625,1119.800048828125,1119.800048828125,3861500,1.0,1092.2121988932292,1087.5545099431818,1.0
2,2020-03-18,1056.510009765625,1106.5,1037.280029296875,1096.800048828125,1096.800048828125,4233400,1.0,1093.2317211009838,1088.3950134781765,0.0
3,2020-03-19,1093.050048828125,1157.969970703125,1060.1080322265625,1115.2900390625,1115.2900390625,3651100,1.0,1098.1335695368764,1090.840015804024,0.0
4,2020-03-20,1135.719970703125,1143.989990234375,1065.489990234375,1072.3199462890625,1072.3199462890625,3601800,1.0,1092.39720881514,1089.1563731208455,0.0
5,2020-03-23,1061.3199462890625,1071.3199462890625,1013.5360107421876,1056.6199951171875,1056.6199951171875,4044100,0.0,1084.4467168822616,1086.1985205750584,-1.0
6,2020-03-24,1103.77001953125,1135.0,1090.6199951171875,1134.4599609375,1134.4599609375,3344500,1.0,1095.560771116759,1090.5859242443712,1.0
7,2020-03-25,1126.469970703125,1148.9000244140625,1086.010009765625,1102.489990234375,1102.489990234375,4081500,1.0,1097.1005975873404,1091.6681120616443,0.0
8,2020-03-26,1111.800048828125,1169.969970703125,1093.530029296875,1161.75,1161.75,3571700,1.0,1111.4671314568204,1098.039192783313,0.0
9,2020-03-27,1125.6700439453125,1150.6700439453125,1105.9100341796875,1110.7099609375,1110.7099609375,3208500,1.0,1111.2988713414159,1099.19108079733,0.0
10,2020-03-30,1125.0400390625,1151.6300048828125,1096.47998046875,1146.8199462890625,1146.8199462890625,2574100,1.0,1119.192443552004,1103.5209776602148,0.0
11,2020-03-31,1147.300048828125,1175.31005859375,1138.1400146484375,1162.81005859375,1162.81005859375,2486400,1.0,1128.8852468946143,1108.910894108718,0.0
