ATVI	
AMD	    
ADBE	
ALGN	
ALXN	
AMZN	
AMGN	
AEP	    
ADI	    
ANSS	
AAPL	
AMAT	
ASML	
TEAM	
ADSK	
ADP	    
AVGO	
BIDU	
BIIB	
BMRN	
BKNG	
CDNS	
CDW	    
CERN	
CHKP	
CHTR	
CPRT	
CTAS	
CSCO	
CMCSA	
COST	
CSX	    
CTSH	
DOCU	
DXCM	
DLTR	
EA		
EBAY	
EXC		
FAST	
FB		
FISV	
FOX		
FOXA	
GILD	
GOOG	
GOOGL	
ILMN	
INCY	
INTC	
INTU	
ISRG	
MRVL	
IDXX	
JD		
KDP		
KLAC	
KHC		
LRCX	
LULU	
MELI	
MAR		
MTCH	
MCHP	
MDLZ	
MRNA	
MNST	
MSFT	
MU		
MXIM	
NFLX	
NTES	
NVDA	
NXPI	
OKTA	
ORLY	
PAYX	
PCAR	
PDD		
PTON	
PYPL	
PEP		
QCOM	
REGN	
ROST	
SIRI	
SGEN	
SPLK	
SWKS	
SBUX	
SNPS	
TCOM	
TSLA	
TXN		
TMUS	
VRSN	
VRSK	
VRTX	
WBA		
WDAY	
XEL		
XLNX	
ZM		
